observation_index,capture_wall_time_ms,execution_state,timeline_s,commanded_json,actual_json,torque_json
0,1788495942971,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450480206864747,0.6267339462900731,-1.607167592143057,1.4871311765737452,-0.06071511775497714,0.5934257337791629],""received_at_ms"":1788495942971,""age_ms"":0,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09639523271934762,2.5492439624920364,1.6175721979458957,-1.4880321155336247,3.193319500229925,2.5726156665054924],""received_at_ms"":1788495942948,""age_ms"":23,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":512,""fresh"":true},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":632,""fresh"":true}}"
1,1788495943031,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450480206864747,0.6267339462900731,-1.607167592143057,1.4871311765737452,-0.06071511775497714,0.5934257337791629],""received_at_ms"":1788495942971,""age_ms"":60,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.5492439624920364,1.6175721979458957,-1.4880321155336247,3.193295589219172,2.572627709277331],""received_at_ms"":1788495943008,""age_ms"":23,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":572,""fresh"":true},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":692,""fresh"":true}}"
2,1788495943133,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450600634583136,0.6267100352793207,-1.6071796349148955,1.4871311765737452,-0.06070307498313838,0.5934257337791629],""received_at_ms"":1788495943130,""age_ms"":3,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09640727549118637,2.5492439624920364,1.6175721979458957,-1.4880321155336247,3.1933076319910114,2.5726156665054924],""received_at_ms"":1788495943118,""age_ms"":15,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":674,""fresh"":true},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":794,""fresh"":true}}"
3,1788495943232,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045083974469066,0.6267220780511594,-1.6071557239041434,1.4871311765737452,-0.06071511775497714,0.5934257337791629],""received_at_ms"":1788495943221,""age_ms"":11,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09635927893675653,2.549231919720197,1.6175721979458957,-1.4880321155336247,3.193295589219172,2.5726156665054924],""received_at_ms"":1788495943231,""age_ms"":1,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":773,""fresh"":true},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":893,""fresh"":true}}"
4,1788495943439,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045072106230152,0.6267339462900731,-1.6071796349148955,1.4871311765737452,-0.06071511775497714,0.5934136910073241],""received_at_ms"":1788495943341,""age_ms"":98,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09639523271934762,2.549231919720197,1.6175721979458957,-1.4880321155336247,3.193295589219172,2.5726156665054924],""received_at_ms"":1788495943344,""age_ms"":95,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":980,""fresh"":true},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1100,""fresh"":true}}"
5,1788495943540,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450480206864747,0.6267220780511594,-1.607167592143057,1.4871193083348315,-0.06071511775497714,0.5934018227684105],""received_at_ms"":1788495943522,""age_ms"":18,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09639523271934762,2.549256005263875,1.6175721979458957,-1.4880441583054635,3.193295589219172,2.5726156665054924],""received_at_ms"":1788495943529,""age_ms"":11,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1081,""fresh"":true},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1201,""fresh"":true}}"
6,1788495943641,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450480206864747,0.6267220780511594,-1.6071557239041434,1.4871311765737452,-0.06071511775497714,0.5934136910073241],""received_at_ms"":1788495943590,""age_ms"":51,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.549231919720197,1.6175601551740573,-1.488020072761786,3.1933076319910114,2.5726156665054924],""received_at_ms"":1788495943603,""age_ms"":38,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1182,""fresh"":true},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1302,""fresh"":true}}"
7,1788495943741,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045072106230152,0.6267100352793207,-1.6071436811323045,1.4871311765737452,-0.060739028765729466,0.5934018227684105],""received_at_ms"":1788495943702,""age_ms"":39,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09639523271934762,2.549256005263875,1.6175721979458957,-1.4880321155336247,3.1933076319910114,2.572627709277331],""received_at_ms"":1788495943722,""age_ms"":19,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1282,""fresh"":true},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1402,""fresh"":true}}"
8,1788495943843,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450480206864747,0.6267220780511594,-1.6071796349148955,1.4871193083348315,-0.06071511775497714,0.5934136910073241],""received_at_ms"":1788495943841,""age_ms"":2,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.0963713217085953,2.5492439624920364,1.6175721979458957,-1.488020072761786,3.193319500229925,2.572627709277331],""received_at_ms"":1788495943792,""age_ms"":51,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1384,""fresh"":true},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1504 ms exceeds 1500 ms"",""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1504,""fresh"":false}}"
9,1788495943941,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450480206864747,0.6267220780511594,-1.6071796349148955,1.4871193083348315,-0.06071511775497714,0.5934136910073241],""received_at_ms"":1788495943841,""age_ms"":100,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09639523271934762,2.5492439624920364,1.6175721979458957,-1.4880321155336247,3.193319500229925,2.5726156665054924],""received_at_ms"":1788495943887,""age_ms"":54,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1482,""fresh"":true},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1602 ms exceeds 1500 ms"",""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1602,""fresh"":false}}"
10,1788495944043,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450600634583136,0.6266861242685683,-1.6071796349148955,1.4871311765737452,-0.06071511775497714,0.5934257337791629],""received_at_ms"":1788495943957,""age_ms"":86,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.0963713217085953,2.5492439624920364,1.6175842407177345,-1.488020072761786,3.1933076319910114,2.572627709277331],""received_at_ms"":1788495943974,""age_ms"":69,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1584 ms exceeds 1500 ms"",""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1584,""fresh"":false},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1704 ms exceeds 1500 ms"",""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1704,""fresh"":false}}"
11,1788495944141,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0450600634583136,0.6266979925074819,-1.607167592143057,1.4871193083348315,-0.06071511775497714,0.5934377765510016],""received_at_ms"":1788495944136,""age_ms"":5,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.549231919720197,1.6175842407177345,-1.4880321155336247,3.1933076319910114,2.5726156665054924],""received_at_ms"":1788495944088,""age_ms"":53,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1682 ms exceeds 1500 ms"",""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1682,""fresh"":false},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1802 ms exceeds 1500 ms"",""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1802,""fresh"":false}}"
12,1788495944243,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045083974469066,0.6267100352793207,-1.6071796349148955,1.487143219345584,-0.06070307498313838,0.5934257337791629],""received_at_ms"":1788495944208,""age_ms"":35,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.5492678735027883,1.6175842407177345,-1.4880321155336247,3.1933076319910114,2.5726037982665786],""received_at_ms"":1788495944230,""age_ms"":13,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1784 ms exceeds 1500 ms"",""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1784,""fresh"":false},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1904 ms exceeds 1500 ms"",""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1904,""fresh"":false}}"
13,1788495944344,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045072106230152,0.6267339462900731,-1.6071796349148955,1.4871193083348315,-0.06071511775497714,0.5934136910073241],""received_at_ms"":1788495944319,""age_ms"":25,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.549256005263875,1.6175721979458957,-1.4880441583054635,3.1933076319910114,2.5726156665054924],""received_at_ms"":1788495944344,""age_ms"":0,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1885 ms exceeds 1500 ms"",""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1885,""fresh"":false},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 2005 ms exceeds 1500 ms"",""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":2005,""fresh"":false}}"
14,1788495944442,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.045072106230152,0.6267220780511594,-1.607167592143057,1.487143219345584,-0.06071511775497714,0.5934136910073241],""received_at_ms"":1788495944435,""age_ms"":7,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09638318994750886,2.549256005263875,1.6175721979458957,-1.4880441583054635,3.1933076319910114,2.5726156665054924],""received_at_ms"":1788495944344,""age_ms"":98,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-109.67397323314799,-10.888818222738337,1.060302734375,-6.115234375,-0.53631591796875,0.8013916015625],""received_at_ms"":1788495942459,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1983 ms exceeds 1500 ms"",""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1983,""fresh"":false},""right"":{""values"":[125.72656092233956,-0.2806396449159365,-4.561767578125,6.65771484375,0.369873046875,0.419189453125],""received_at_ms"":1788495942339,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 2103 ms exceeds 1500 ms"",""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":2103,""fresh"":false}}"
