observation_index,capture_wall_time_ms,execution_state,timeline_s,commanded_json,actual_json,torque_json
0,1788494749264,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0417284044491817,0.6269378007467059,-1.607982486370813,1.4895400800073477,-0.058725791473554,0.5928265622469531],""received_at_ms"":1788494749238,""age_ms"":26,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09737802762114563,2.5494717279594212,1.616937072631095,-1.4869535020558924,3.191701754546251,2.573250966353218],""received_at_ms"":1788494749257,""age_ms"":7,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":544,""fresh"":true},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":185,""fresh"":true}}"
1,1788494749360,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.041704493438429,0.6269257579748672,-1.6079945291426516,1.4895161689965954,-0.05873765971246756,0.5928145194751143],""received_at_ms"":1788494749330,""age_ms"":30,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09737802762114563,2.5494717279594212,1.616937072631095,-1.4869535020558924,3.191701754546251,2.573250966353218],""received_at_ms"":1788494749257,""age_ms"":103,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":642,""fresh"":true},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":283,""fresh"":true}}"
2,1788494749458,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0417165362102683,0.6269496689856195,-1.6079706181318993,1.4895400800073477,-0.058725791473554,0.5928145194751143],""received_at_ms"":1788494749403,""age_ms"":55,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09737802762114563,2.5494717279594212,1.6169609836418473,-1.4869414592840535,3.191701754546251,2.5732389235813793],""received_at_ms"":1788494749370,""age_ms"":88,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":740,""fresh"":true},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":381,""fresh"":true}}"
3,1788494749561,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0417284044491817,0.6269496689856195,-1.6080065719144905,1.4895161689965954,-0.05873765971246756,0.5928024767032757],""received_at_ms"":1788494749520,""age_ms"":41,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09737802762114563,2.5494717279594212,1.6169609836418473,-1.4869414592840535,3.191701754546251,2.5732389235813793],""received_at_ms"":1788494749548,""age_ms"":13,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":843,""fresh"":true},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":484,""fresh"":true}}"
4,1788494749659,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0417165362102683,0.6269378007467059,-1.6079945291426516,1.4895161689965954,-0.05873765971246756,0.5928265622469531],""received_at_ms"":1788494749656,""age_ms"":3,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09737802762114563,2.5494835961983346,1.6169491154029338,-1.4869535020558924,3.191713622785165,2.5732389235813793],""received_at_ms"":1788494749616,""age_ms"":43,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":941,""fresh"":true},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":582,""fresh"":true}}"
5,1788494749769,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0417165362102683,0.6269378007467059,-1.6079945291426516,1.4895161689965954,-0.05873765971246756,0.5928265622469531],""received_at_ms"":1788494749656,""age_ms"":113,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09736598484930686,2.5494835961983346,1.6169491154029338,-1.4869295910451399,3.1916897117744125,2.5732268808095404],""received_at_ms"":1788494749722,""age_ms"":47,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1051,""fresh"":true},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":692,""fresh"":true}}"
6,1788494749862,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0416924506665906,0.6269378007467059,-1.6079706181318993,1.4895400800073477,-0.05873765971246756,0.5928024767032757],""received_at_ms"":1788494749779,""age_ms"":83,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09737802762114563,2.5494717279594212,1.6169609836418473,-1.4869414592840535,3.191701754546251,2.5732268808095404],""received_at_ms"":1788494749790,""age_ms"":72,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1144,""fresh"":true},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":785,""fresh"":true}}"
7,1788494749964,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.041704493438429,0.6269137152030284,-1.6079945291426516,1.4895400800073477,-0.05873765971246756,0.5928145194751143],""received_at_ms"":1788494749898,""age_ms"":66,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09738989586005918,2.5494717279594212,1.616937072631095,-1.4869295910451399,3.191701754546251,2.5732389235813793],""received_at_ms"":1788494749880,""age_ms"":84,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1246,""fresh"":true},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":887,""fresh"":true}}"
8,1788494750059,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0417165362102683,0.6269378007467059,-1.6080184401534041,1.489528037235509,-0.058749702484306325,0.5928265622469531],""received_at_ms"":1788494750039,""age_ms"":20,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09737802762114563,2.5494717279594212,1.6169609836418473,-1.4869414592840535,3.191701754546251,2.5732389235813793],""received_at_ms"":1788494749979,""age_ms"":80,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1341,""fresh"":true},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":982,""fresh"":true}}"
9,1788494750163,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0417165362102683,0.6268898041922761,-1.6079945291426516,1.489528037235509,-0.05873765971246756,0.5928024767032757],""received_at_ms"":1788494750157,""age_ms"":6,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09737802762114563,2.5494717279594212,1.6169491154029338,-1.4869414592840535,3.191701754546251,2.5732628345921316],""received_at_ms"":1788494750095,""age_ms"":68,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1445,""fresh"":true},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1086,""fresh"":true}}"
10,1788494750265,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0417284044491817,0.6269018469641149,-1.607982486370813,1.489528037235509,-0.058725791473554,0.5928145194751143],""received_at_ms"":1788494750226,""age_ms"":39,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09737802762114563,2.549459685187583,1.616937072631095,-1.4869535020558924,3.191701754546251,2.5732389235813793],""received_at_ms"":1788494750194,""age_ms"":71,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1547 ms exceeds 1500 ms"",""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1547,""fresh"":false},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1188,""fresh"":true}}"
11,1788494750363,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.041764358231773,0.6269137152030284,-1.6079706181318993,1.489528037235509,-0.05873765971246756,0.5928265622469531],""received_at_ms"":1788494750294,""age_ms"":69,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09737802762114563,2.5494717279594212,1.616937072631095,-1.4869414592840535,3.1916897117744125,2.5732268808095404],""received_at_ms"":1788494750270,""age_ms"":93,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1645 ms exceeds 1500 ms"",""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1645,""fresh"":false},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1286,""fresh"":true}}"
12,1788494750462,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0417284044491817,0.6269257579748672,-1.6079945291426516,1.4895161689965954,-0.05873765971246756,0.5928145194751143],""received_at_ms"":1788494750419,""age_ms"":43,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09737802762114563,2.5494717279594212,1.616937072631095,-1.4869295910451399,3.1916897117744125,2.5732389235813793],""received_at_ms"":1788494750366,""age_ms"":96,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1744 ms exceeds 1500 ms"",""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1744,""fresh"":false},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1385,""fresh"":true}}"
13,1788494750564,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.04174044722102,0.6269257579748672,-1.607982486370813,1.4895161689965954,-0.058725791473554,0.5928145194751143],""received_at_ms"":1788494750551,""age_ms"":13,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09738989586005918,2.5494717279594212,1.6169491154029338,-1.4869295910451399,3.191701754546251,2.573250966353218],""received_at_ms"":1788494750545,""age_ms"":19,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1845 ms exceeds 1500 ms"",""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1845,""fresh"":false},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""VALID"",""error"":null,""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1486,""fresh"":true}}"
14,1788494750666,ARMED,0.0,"{""left"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null},""right"":{""valid"":false,""status"":""MISSING"",""sample_index"":null,""time_from_start_s"":null,""joints_rad"":null,""source"":""LATEST SUCCESSFUL PHASE5 SERVO_J COMMAND \u2014 DRIVER MEMORY"",""error"":null}}","{""left"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[3.0417524899928594,0.6269257579748672,-1.6080065719144905,1.489528037235509,-0.05873765971246756,0.5928265622469531],""received_at_ms"":1788494750622,""age_ms"":44,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null},""right"":{""valid"":true,""fresh"":true,""status"":""FRESH"",""joints_rad"":[0.09737802762114563,2.5494717279594212,1.6169491154029338,-1.4869414592840535,3.191701754546251,2.5732389235813793],""received_at_ms"":1788494750616,""age_ms"":50,""source"":""jaka_port10000_actual_feedback"",""mapping"":""port10000_joint_actual_position_deg_to_rad"",""error"":null}}","{""left"":{""values"":[-125.16528163250769,-11.169457867654273,1.97265625,-4.660400390625,0.22808837890625,-0.123291015625],""received_at_ms"":1788494748718,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1948 ms exceeds 1500 ms"",""source"":""/left_jaka_driver/joint_torque_raw"",""age_ms"":1948,""fresh"":false},""right"":{""values"":[119.60861666317214,0.3928955028823111,-4.167236328125,4.88232421875,-0.271240234375,0.369873046875],""received_at_ms"":1788494749077,""valid"":true,""status"":""STALE"",""error"":""Torque sample age 1589 ms exceeds 1500 ms"",""source"":""/right_jaka_driver/joint_torque_raw"",""age_ms"":1589,""fresh"":false}}"
